parameter1,parameter2,parameter3,parameter4,parameter5,time
89,60,1861,2376,2429, 14:35:58 
85,62,1506,2957,2426, 14:36:00 
98,68,1305,2471,2880, 14:36:02 
70,60,1600,2276,2216, 14:36:04 
53,72,1468,2661,2611, 14:36:06 
60,59,1845,2752,2612, 14:36:08 
59,86,1237,1686,2943, 14:36:10 
64,63,1203,2323,2313, 14:36:12 
59,79,1744,2147,2248, 14:36:14 
55,50,1169,2132,2520, 14:36:16 
71,62,1113,2240,2521, 14:36:18 
88,72,1882,2424,2209, 14:36:20 
75,82,1267,2511,2447, 14:36:22 
55,82,1590,1906,2315, 14:36:24 
55,66,1707,1535,2780, 14:36:26 
95,51,1726,2791,2741, 14:36:28 
97,80,1552,2045,2758, 14:36:30 
69,81,1157,2075,2832, 14:36:32 
69,59,1870,1997,2051, 14:36:34 
86,60,1927,2773,2870, 14:36:36 
95,63,1256,2884,2839, 14:36:38 
99,78,1651,2606,2486, 14:36:40 
75,75,1880,1800,2778, 14:36:42 
65,80,1771,2095,2716, 14:36:44 
101,60,1780,1843,2806, 14:36:46 
71,65,1555,1831,2711, 14:36:48 
69,66,1107,2360,2117, 14:36:50 
101,73,1008,1820,2180, 14:36:52 
52,59,1142,1504,2401, 14:36:54 
75,56,1025,2137,2815, 14:36:56 
50,71,1990,1669,2677, 14:36:58 
95,68,1206,1642,2925, 14:37:00 
60,84,1294,1563,2286, 14:37:02 
84,52,1245,2300,2287, 14:37:04 
83,56,1487,1545,2057, 14:37:06 
59,86,1244,2333,2941, 14:37:08 
75,67,1374,1740,2204, 14:37:10 
70,83,1222,2398,2136, 14:37:12 
78,68,1354,2139,2731, 14:37:14 
67,62,1318,1720,2344, 14:37:16 
51,84,1901,2987,2736, 14:37:18 
97,52,1948,2493,2197, 14:37:20 
53,50,1762,2849,2020, 14:37:22 
77,75,1987,1944,2455, 14:37:24 
65,59,1097,2070,2683, 14:37:26 
86,67,1005,2139,2158, 14:37:28 
56,78,1057,1831,2260, 14:37:30 
89,90,1938,2622,2408, 14:37:32 
80,54,1407,2467,2738, 14:37:35 
74,83,1110,2414,2972, 14:37:37 
73,60,1576,1775,2022, 14:37:39 
83,79,1262,2304,2485, 14:37:41 
91,79,1869,2906,2231, 14:37:43 
72,69,1590,1746,2929, 14:37:45 
94,78,1846,2733,2896, 14:37:47 
61,78,1766,2256,2669, 14:37:49 
59,52,1675,2753,2395, 14:37:51 
75,81,1662,2094,2369, 14:37:53 
89,83,1673,1692,2001, 14:37:55 
97,86,1250,1559,2897, 14:37:57 
80,74,1618,1909,2528, 14:37:59 
55,86,1115,1585,2953, 14:38:01 
80,65,1737,2934,2361, 14:38:03 
64,56,1707,1563,2540, 14:38:05 
68,79,1102,1865,2238, 14:38:07 
64,59,1578,2801,2725, 14:38:09 
62,69,1060,1975,2536, 14:38:11 
97,56,1251,2966,2947, 14:38:13 
92,55,1551,1805,2329, 14:38:15 
87,53,1669,2467,2042, 14:38:17 
61,54,1409,1824,2664, 14:38:19 
78,60,1916,2495,2818, 14:38:21 
85,51,1628,2873,2906, 14:38:23 
64,52,1136,2924,2934, 14:38:25 
61,53,1927,2221,2401, 14:38:27 
98,86,1275,1845,2661, 14:38:29 
58,71,1852,1946,2626, 14:38:31 
51,79,1773,2984,2034, 14:38:33 
83,63,1112,2882,2863, 14:38:35 
83,68,1858,2253,2046, 14:38:37 
92,71,1380,2876,2357, 14:38:39 
60,86,1794,2682,2247, 14:38:41 
91,87,1984,2059,2197, 14:38:43 
75,57,1593,2071,2070, 14:38:45 
80,56,1031,2589,2837, 14:38:47 
83,85,1673,2569,2376, 14:38:49 
58,76,1268,1848,2639, 14:38:51 
64,73,1788,2147,2108, 14:38:53 
90,70,1170,2373,2048, 14:38:55 
77,83,1621,2479,2204, 14:38:57 
81,65,1834,2317,2204, 14:38:59 
101,58,1801,2819,2113, 14:39:01 
69,90,1671,2388,2089, 14:39:03 
79,79,1948,2346,2000, 14:39:05 
84,78,1583,2469,2607, 14:39:07 
99,85,1551,2276,2128, 14:39:09 
87,52,1538,1924,2247, 14:39:11 
81,76,1678,1982,2972, 14:39:13 
68,68,1997,2522,2165, 14:39:15 
81,71,1589,2875,2768, 14:39:17 
75,76,1169,2478,2480, 14:39:19 
78,50,1266,2383,2556, 14:39:21 
85,80,1911,2775,2716, 14:39:23 
54,56,1780,2681,2139, 14:39:25 
70,60,1407,2108,2703, 14:39:27 
101,78,1848,2613,2708, 14:39:29 
88,84,1583,2900,2687, 14:39:31 
99,73,1089,2012,2015, 14:39:33 
53,59,1164,1664,2956, 14:39:35 
60,65,1981,2341,2295, 14:39:37 
79,71,1231,2241,2143, 14:39:39 
55,58,1535,2632,2495, 14:39:41 
81,68,1536,1550,2316, 14:39:43 
55,61,1668,1940,2960, 14:39:45 
86,60,1915,1766,2664, 14:39:47 
70,55,1962,2147,2318, 14:39:49 
62,87,1144,2675,2564, 14:39:51 
98,55,1401,1624,2434, 14:39:53 
97,90,1894,2766,2315, 14:39:55 
73,58,1982,2320,2389, 14:39:57 
82,55,1623,2952,2735, 14:39:59 
51,61,1166,2831,2093, 14:40:01 
78,75,1992,1910,2344, 14:40:03 
77,85,1501,2874,2887, 14:40:05 
95,53,1854,2098,2417, 14:40:07 
83,73,1357,1918,2741, 14:40:09 
62,53,1403,2868,2279, 14:40:11 
87,60,1690,2024,2318, 14:40:13 
77,89,1797,1913,2475, 14:40:15 
58,61,1785,1568,2762, 14:40:17 
89,73,1688,2907,2095, 14:40:19 
58,54,1496,2168,2001, 14:40:21 
64,58,1578,2765,2288, 14:40:23 
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
